127.0.0.1 - - [28/Dec/2022:11:41:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:01 +0530] "GET /Project-4/ HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:01 +0530] "GET /Project-4/img/RaysLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:04 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:07 +0530] "GET /Project-4/LoginCtl HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:48 +0530] "POST /Project-4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:48 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:53 +0530] "GET /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 8190
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:53 +0530] "GET /Project-4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:42:53 +0530] "GET /Project-4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:44:58 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:44:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:44:58 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:45:09 +0530] "GET /Project-4/ctl/ChangePasswordCtl HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:45:13 +0530] "GET /Project-4/ctl/GetMarksheetCtl HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:45:18 +0530] "GET /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:45:54 +0530] "POST /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:45:59 +0530] "GET /Project-4/ctl/GetMarksheetCtl HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:46:40 +0530] "GET /Project-4/ctl/GetMarksheetCtl HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:46:40 +0530] "GET /Project-4/img/Raysicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:46:46 +0530] "GET /Project-4/ctl/CourseListCtl HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:48:03 +0530] "GET /Project-4/ctl/FacultyListCtl HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:36 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:36 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:44 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
